City_ID,City Name,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
220,Haiku-Pauwela,20.9219,-156.3051,79.16,9.22,1703721503,66,40,scattered clouds
221,Mahabalipuram,12.6264,80.1722,77.05,7.72,1703721660,88,99,overcast clouds
222,Kalianget,-7.05,113.9333,83.61,6.82,1703721661,76,82,broken clouds
223,Lompoc,34.6391,-120.4579,65.7,5.75,1703721469,66,40,scattered clouds
224,Happy Valley-Goose Bay,53.3168,-60.3315,13.53,13.4,1703721662,75,48,scattered clouds
225,Djibouti,11.5,42.5,68.72,14.27,1703721662,80,74,broken clouds
226,Nantucket,41.2835,-70.0995,48.34,3.44,1703721547,100,100,mist
227,Altai,46.3722,96.2583,14.86,6.6,1703721663,61,88,overcast clouds
228,Lüderitz,-26.6481,15.1594,60.48,5.17,1703721664,97,13,few clouds
229,Hanzhong,33.0728,107.0303,41.9,2.64,1703721664,71,20,few clouds
230,Dawson Creek,55.7666,-120.2362,28.04,3.44,1703721665,74,0,clear sky
231,Bamboo Flat,11.7,92.7167,81.46,13.6,1703721665,69,5,clear sky
232,Majene,-3.5403,118.9707,81.88,2.62,1703721666,78,96,overcast clouds
233,Macao,22.2006,113.5461,67.8,8.05,1703721658,88,20,few clouds
234,Patnanungan,14.7833,122.1833,79.09,17.02,1703721667,85,18,few clouds
235,Tura,25.5198,90.2201,59.2,3.42,1703721667,82,1,clear sky
236,Sitka,57.0531,-135.33,33.22,8.08,1703721509,83,100,snow
237,Quryq,43.2,51.65,50.13,17.6,1703721668,69,99,overcast clouds
238,Nicoya,10.1483,-85.452,78.03,3.29,1703721668,84,81,broken clouds
239,Boyolangu,-8.1181,111.8935,79.32,3.29,1703721669,87,87,overcast clouds
240,Zarghūn Shahr,32.8473,68.4457,34.84,6.11,1703721669,42,0,clear sky
241,Rawson,-43.3002,-65.1023,71.71,10.63,1703721670,35,57,broken clouds
242,Taunsa,30.7048,70.6505,58.21,2.59,1703721670,45,0,clear sky
243,Iskateley,67.6803,53.1512,10.02,8.01,1703721473,89,74,broken clouds
244,Pauini,-7.7136,-66.9764,77.97,0.69,1703721671,83,96,overcast clouds
245,Cabo San Lucas,22.8909,-109.9124,73.18,5.37,1703721402,51,0,clear sky
246,Lā‘ie,21.6477,-157.9253,80.06,11.07,1703721672,69,35,scattered clouds
247,Enewetak,11.3474,162.3373,81.27,19.42,1703721475,83,80,moderate rain
248,St. John's,47.5649,-52.7093,28.78,1.01,1703721403,79,10,clear sky
249,Saipan,15.1355,145.701,81.52,22.24,1703721494,73,15,few clouds
250,Fale old settlement,-9.3852,-171.2468,83.68,9.46,1703721462,77,87,moderate rain
251,Luang Prabang,19.8856,102.1347,55.27,1.45,1703721675,90,0,clear sky
252,Harstad,68.799,16.5293,32.61,11.01,1703721467,96,97,light snow
253,Morden,49.1919,-98.1014,34.23,4.61,1703721641,80,5,clear sky
254,Pugachev,52.0133,48.8025,33.89,1.74,1703721676,97,100,overcast clouds
255,Tôlanaro,-25.0319,46.9987,77.07,2.3,1703721676,88,40,scattered clouds
256,San Julián,21.0167,-102.1667,59.38,8.72,1703721677,32,0,clear sky
257,Ishim,56.1128,69.4902,23.04,10.0,1703721678,95,97,light snow
258,Lorengau,-2.0226,147.2712,84.7,4.52,1703721678,74,100,overcast clouds
259,Shimanovsk,52.0,127.7,-14.24,2.19,1703721679,100,11,few clouds
260,Puerto Lempira,15.2667,-83.7667,77.07,8.23,1703721680,87,13,few clouds
261,San Ignacio,17.1561,-89.0714,86.14,0.0,1703721680,74,40,scattered clouds
262,Chebba,35.2372,11.115,57.7,5.79,1703721681,77,7,clear sky
263,Saint-Pierre,-21.3393,55.4781,71.56,3.74,1703721682,56,6,clear sky
264,Erenhot,43.6475,111.9767,7.95,6.33,1703721682,89,5,clear sky
265,Naryan-Mar,67.6713,53.087,11.61,7.85,1703721683,89,70,broken clouds
266,Nuuk,64.1835,-51.7216,10.33,9.26,1703721684,69,76,broken clouds
267,Baie-Comeau,49.2168,-68.1489,28.4,2.06,1703721652,36,86,overcast clouds
268,Pokachi,61.7198,75.3683,22.28,14.18,1703721685,92,100,overcast clouds
269,Grantsville,40.5999,-112.4644,36.97,0.0,1703721685,77,0,clear sky
270,Sandnessjøen,66.0217,12.6316,25.32,8.93,1703721686,82,98,light snow
271,Cabedelo,-6.9811,-34.8339,80.24,10.94,1703721686,78,89,overcast clouds
272,Mbéni,-11.5014,43.3775,77.43,3.11,1703721687,75,100,light rain
273,Meadow Lakes,61.6247,-149.6011,16.52,0.0,1703721688,83,100,overcast clouds
274,Serhetabat,35.2799,62.3438,50.04,4.92,1703721688,41,0,clear sky
275,Labytnangi,66.6572,66.4183,13.51,18.54,1703721484,94,100,light snow
276,San Patricio,28.017,-97.5169,69.69,6.4,1703721451,39,17,few clouds
277,Theunissen,-28.411,26.7011,57.47,8.46,1703721690,80,4,clear sky
278,Smara,26.7384,-11.6719,61.07,7.02,1703721691,18,2,clear sky
279,Channelview,29.7761,-95.1146,61.0,9.28,1703721692,47,15,few clouds
280,Moussoro,13.6408,16.4901,64.44,11.74,1703721692,22,29,scattered clouds
281,Byaroza,52.5314,24.9786,31.86,7.83,1703721693,87,83,broken clouds
282,Enshi,30.3,109.4833,44.28,0.83,1703721694,92,1,clear sky
283,Luena,-11.7833,19.9167,63.01,5.68,1703721694,97,97,overcast clouds
284,Camocim,-2.9022,-40.8411,81.16,12.44,1703721695,83,52,broken clouds
285,Puerto Armuelles,8.2833,-82.8667,80.19,2.24,1703721695,81,99,light rain
286,Cambridge,43.3601,-80.3127,45.1,5.75,1703721421,100,100,mist
287,Shanhecun,44.7,127.2,8.82,5.3,1703721697,86,100,overcast clouds
288,Masumbwe,-3.6333,32.1833,63.46,2.55,1703721697,99,100,overcast clouds
289,Hithadhoo,-0.6,73.0833,80.74,12.06,1703721697,80,100,overcast clouds
