City_ID,City Name,Country,City Lat,City Lon,Max Temp,Wind,Date,Humidity,Cloudiness,Description
156,Varzelândia,BR,-15.7014,-44.0275,27.7,2.14,1703717261,44,100,overcast clouds
157,Kavaratti,IN,10.5669,72.642,28.06,2.89,1703717262,59,47,scattered clouds
158,Gizo Government Station,SB,-8.103,156.8419,29.16,2.82,1703717262,73,93,overcast clouds
159,Saurimo,AO,-9.6608,20.3916,18.82,1.57,1703717262,99,100,light rain
160,Haiku-Pauwela,US,20.9219,-156.3051,25.14,4.12,1703717262,67,40,scattered clouds
161,Mabaruma,GY,8.2,-59.7833,25.17,2.18,1703717262,86,43,scattered clouds
162,East London,ZA,-33.0153,27.9116,18.53,6.73,1703717263,85,99,light rain
163,Itiruçu,BR,-13.5317,-40.1503,21.69,3.45,1703717263,85,95,overcast clouds
164,Port Sudan,SD,19.6175,37.2164,24.48,5.75,1703717263,78,84,broken clouds
165,Shalqar,KZ,47.8333,59.6,2.23,9.54,1703717263,92,100,light rain
166,Narrabri,AU,-30.3167,149.7833,28.62,0.89,1703717263,42,28,scattered clouds
167,Happy Valley-Goose Bay,CA,53.3168,-60.3315,-9.69,5.31,1703717109,72,69,broken clouds
168,Pokachi,RU,61.7198,75.3683,-5.21,6.76,1703717264,91,100,overcast clouds
169,Kurumkan,RU,54.3,110.3,-14.92,1.26,1703717264,96,98,overcast clouds
170,Dawei,MM,14.0833,98.2,20.64,2.41,1703717264,67,11,few clouds
171,Klaksvík,FO,62.2266,-6.589,4.51,18.22,1703717264,71,100,overcast clouds
172,Mount Sterling,US,38.0565,-83.9433,8.34,0.73,1703717014,88,7,clear sky
173,Nema,RU,57.5067,50.5011,-10.32,1.83,1703717265,96,100,light snow
174,Lompoc,US,34.6391,-120.4579,17.55,2.57,1703717265,72,20,few clouds
175,Krasnogvardeyskoye,RU,45.8456,41.5186,5.29,9.33,1703717265,70,78,broken clouds
176,Udachny,RU,66.4167,112.4,-35.31,1.11,1703717265,81,81,broken clouds
177,Anadyr,RU,64.75,177.4833,-27.78,3.58,1703717266,75,100,overcast clouds
178,Howrah,IN,22.5892,88.3103,17.0,0.0,1703717266,88,2,mist
179,Massakory,TD,12.996,15.7293,20.08,5.76,1703717266,19,10,clear sky
180,Chulakkurgan,KZ,43.765,69.1814,1.78,3.73,1703717266,79,88,overcast clouds
181,Flying Fish Cove,CX,-10.4217,105.6791,27.58,8.15,1703717240,73,100,overcast clouds
182,Gēdo,ET,9.0167,37.45,14.25,1.01,1703717267,61,100,overcast clouds
183,West Island,CC,-12.1568,96.8225,26.99,3.6,1703717267,89,40,scattered clouds
184,Tura,IN,25.5198,90.2201,15.31,1.58,1703717267,82,0,clear sky
185,Sisimiut,GL,66.9395,-53.6735,-11.29,4.13,1703717267,80,98,overcast clouds
186,Sokoni,TZ,-6.4333,39.55,28.21,4.72,1703717267,78,96,overcast clouds
187,Zharkent,KZ,44.1628,80.0,1.26,1.91,1703717268,92,98,overcast clouds
188,Inverness,GB,57.4791,-4.224,5.95,9.77,1703717268,81,100,overcast clouds
189,Al Mishkhāb,IQ,31.8042,44.4911,13.63,2.04,1703717268,85,100,light rain
190,Dudinka,RU,69.4058,86.1778,-29.07,1.34,1703717268,95,85,overcast clouds
191,Greymouth,NZ,-42.4667,171.2,19.17,2.09,1703717268,65,100,overcast clouds
192,Talara,PE,-4.5772,-81.2719,24.42,3.09,1703717269,78,40,scattered clouds
193,Enewetak,MH,11.3474,162.3373,26.68,6.96,1703717269,87,98,moderate rain
194,Boa Vista,BR,2.8197,-60.6733,27.73,3.11,1703717269,68,85,overcast clouds
195,Sabang,ID,5.8933,95.3214,27.26,10.53,1703717269,81,79,broken clouds
